lemma,translit,gloss
Μακεδονία,mak-ed-on-ee'-ah,Macedonia
Μακεδών,mak-ed'-ohn,"of Macedonia, Macedonian"
Μαλελεήλ,mal-el-eh-ale',Maleleel
Μαναήν,man-ah-ane',Manaen
Μανασσῆς,man-as-sace',Manasses
Μαρία,mar-ee'-ah,Mary
Ματθάν,mat-than',Matthan
Ματθάτ,mat-that',Mathat
Ματθίας,mat-thee'-as,Matthias
Ματθαῖος,mat-thah'-yos,Matthew
Ματταθά,mat-tath-ah',Mattatha
Ματταθίας,mat-tath-ee'-as,Mattathias
Μαϊνάν,mahee-nan',Mainan
Μελίτη,mel-ee'-tay,Melita
Μελεᾶς,mel-eh-as',Meleas
Μελχί,mel-khee',Melchi
Μελχισεδέκ,mel-khis-ed-ek',Melchisedec
Μεσοποταμία,mes-op-ot-am-ee'-ah,Mesopotamia
Μεσσίας,mes-see'-as,Messias
Μιτυλήνη,mit-oo-lay'-nay,Mitylene
Μιχαήλ,mikh-ah-ale',Michael
Μνάσων,mnah'-sohn,Mnason
Μολόχ,mol-okh',Moloch
Μυσία,moo-see'-ah,Mysia
Μωσεύς,moce-yoos',Moses
Μύρα,moo'-rah,Myra
Μῆδος,may'-dos,Mede
Νάρκισσος,nar'-kis-sos,Narcissus
Νέρων,ner'-ohn,Nero
Νίγερ,neeg'-er,Niger
Ναΐν,nah-in',Nain
Ναασσών,nah-as-sone',Naasson
Ναγγαί,nang-gah'-ee,Nagge
Ναζαρέθ,nad-zar-eth',Nazareth
Ναζαρηνός,nad-zar-ay-nos',of Nazareth
Ναζωραῖος,nad-zo-rah'-yos,"Nazarene, of Nazareth"
Ναθάν,nath-an',Nathan
Ναθαναήλ,nath-an-ah-ale',Nathanael
Ναούμ,nah-oom',Naum
Ναχώρ,nakh-ore',Nachor
Νεάπολις,neh-ap'-ol-is,Neapolis
Νεεμάν,neh-eh-man',Naaman
Νεφθαλείμ,nef-thal-ime',Nephthalim
Νηρί,nay-ree',Neri
Νηρεύς,nare-yoos',Nereus
Νικάνωρ,nik-an'-ore,Nicanor
Νικολαΐτης,nik-ol-ah-ee'-tace,Nicolaitane
Νικόδημος,nik-od'-ay-mos,Nicodemus
Νικόλαος,nik-ol'-ah-os,Nicolaus
Νικόπολις,nik-op'-ol-is,Nicopolis
Νινευΐ,nin-yoo-ee',Nineve
Νινευΐτης,nin-yoo-ee'-tace,"of Nineve, Ninevite"
Νυμφᾶς,noom-fas',Nymphas
Νῶε,no'-eh,Noe
Οὐρίας,oo-ree'-as,Urias
Οὐρβανός,oor-ban-os',Urbanus
Πάρθος,par'-thos,Parthian
Πάταρα,pat'-ar-ah,Patara
Πάτμος,pat'-mos,Patmos
Πάφος,paf'-os,Paphos
Πέργαμος,per'-gam-os,Pergamos
Πέργη,perg'-ay,Perga
Πέτρος,pet'-ros,"Peter, rock"
Πακατιανή,pak-at-ee-an-ay',Pacatiana
Παμφυλία,pam-fool-ee'-ah,Pamphylia
Παρμενᾶς,par-men-as',Parmenas
Πατροβᾶς,pat-rob'-as,Patrobas
Παῦλος,pow'-los,"Paul, Paulus"
Περσίς,per-sece',Persis
Πιλᾶτος,pil-at'-os,Pilate
Πισιδία,pis-id-ee'-ah,Pisidia
Ποντικός,pon-tik-os',born in Pontus
Ποτίολοι,pot-ee'-ol-oy,Puteoli
Πούδης,poo'-dace,Pudens
Πρίσκα,pris'-kah,Prisca
Πρίσκιλλα,pris'-cil-lah,Priscilla
Πρόχορος,prokh'-or-os,Prochorus
Πτολεμαΐς,ptol-em-ah-is',Ptolemais
Πόντιος,pon'-tee-os,Pontius
Πόντος,pon'-tos,Pontus
Πόπλιος,pop'-lee-os,Publius
Πόρκιος,por'-kee-os,Porcius
Πύθων,poo'-thone,divination
Σάμος,sam'-os,Samos
Σάρδεις,sar'-dice,Sardis
Σάρεπτα,sar'-ep-tah,Sarepta
Σάρων,sar'-one,Saron
Σάῤῥα,sar'-hrah,"Sara, Sarah"
Σέργιος,serg'-ee-os,Sergius
Σήθ,sayth,Seth
Σήμ,same,Sem
Σίλας,see'-las,Silas
Σίμων,see'-mone,Simon
Σαδδουκαῖος,sad-doo-kah'-yos,Sadducee
Σαδώκ,sad-oke',Sadoc
Σαλά,sal-ah',Sala
Σαλήμ,sal-ame',Salem
Σαλαθιήλ,sal-ath-ee-ale',Salathiel
Σαλαμίς,sal-am-ece',Salamis
Σαλείμ,sal-ime',Salim
Σαλμών,sal-mone',Salmon
Σαλμώνη,sal-mo'-nay,Salmone
Σαλώμη,sal-o'-may,Salome
Σαμάρεια,sam-ar'-i-ah,Samaria
Σαμαρείτης,sam-ar-i'-tace,Samaritan
Σαμαρεῖτις,sam-ar-i'-tis,of Samaria
Σαμοθρᾴκη,sam-oth-rak'-ay,Samothracia
Σαμουήλ,sam-oo-ale',Samuel
Σαμψών,samp-sone',Samson
Σαούλ,sah-ool',Saul
Σαπφείρη,sap-fi'-ray,Sapphira
Σαρούχ,sar-ooch',Saruch
Σατανᾶς,sat-an-as',Satan
Σατᾶν,sat-an',Satan
Σαῦλος,sow'-los,Saul
Σεκοῦνδος,sek-oon'-dos,Secundus
Σελεύκεια,sel-yook'-i-ah,Seleucia
Σεμεΐ,sem-eh-ee',Semei
Σιδών,sid-one',Sidon
Σιδώνιος,sid-o'-nee-os,of Sidon
Σιλουανός,sil-oo-an-os',Silvanus
Σιλωάμ,sil-o-am',Siloam
Σινᾶ,see-nah',Sina
Σιών,see-own',Sion
Σκευᾶς,skyoo-as',Sceva
Σκύθης,skoo'-thace,Scythian
Σμυρναῖος,smoor-nah'-yos,in Smyrna
Σμύρνα,smoor'-nah,Smyrna
Σολομών,sol-om-one',Solomon
Σουσάννα,soo-san'-nah,Susanna
Σπανία,span-ee'-ah,Spain
Στάχυς,stakh'-oos,Stachys
Στέφανος,stef'-an-os,Stephen
Στεφανᾶς,stef-an-as',Stephanas
Στωϊκός,sto-ik-os',Stoick
Συμεών,soom-eh-one',"Simeon, Simon"
Συντύχη,soon-too'-khay,Syntyche
Συράκουσαι,soo-rak'-oo-sahee,Syracuse
Συρία,soo-ree'-ah,Syria
Συροφοίνισσα,soo-rof-oy'-nis-sah,Syrophenician
Συχάρ,soo-khar',Sychar
Συχέμ,soo-khem',Sychem
Σωσίπατρος,so-sip'-at-ros,Sosipater
Σωσθένης,soce-then'-ace,Sosthenes
Σόδομα,sod'-om-ah,Sodom
Σύρος,soo'-ros,Syrian
Σώπατρος,so'-pat-ros,Sopater
Τέρτιος,ter'-tee-os,Tertius
Τέρτυλλος,ter'-tool-los,Tertullus
Τίμων,tee'-mone,Timon
Τίτος,tee'-tos,Titus
Ταβέρναι,tab-er'-nahee,taverns
Ταβιθά,tab-ee-thah',Tabitha
Ταρσεύς,tar-syoos',of Tarsus
Ταρσός,tar-sos',Tarsus
Τιβέριος,tib-er'-ee-os,Tiberius
Τιβεριάς,tib-er-ee-as',Tiberias
Τιμαῖος,tim'-ah-yos,Timæus
Τιμόθεος,tee-moth'-eh-os,"Timotheus, Timothy"
Τραχωνῖτις,trakh-o-nee'-tis,Trachonitis
Τρυφῶσα,troo-fo'-sah,Tryphosa
Τρωάς,tro-as',Troas
Τρωγύλλιον,tro-gool'-lee-on,Trogyllium
Τρόφιμος,trof'-ee-mos,Trophimus
Τρύφαινα,troo'-fahee-nah,Tryphena
Τυχικός,too-khee-kos',Tychicus
Τύραννος,too'-ran-nos,Tyrannus
Τύριος,too'-ree-os,of Tyre
Τύρος,too'-ros,Tyre
Φάλεκ,fal'-ek,Phalec
Φάρες,far-es',Phares
Φίλητος,fil-ay-tos',Philetus
Φίλιπποι,fil'-ip-poy,Philippi
Φίλιππος,fil'-ip-pos,Philip
Φανουήλ,fan-oo-ale',Phanuel
Φαραώ,far-ah-o',Pharaoh
Φαρισαῖος,far-is-ah'-yos,Pharisee
Φιλήμων,fil-ay'-mone,Philemon
Φιλαδέλφεια,fil-ad-el'-fee-ah,Philadelphia
Φιλιππήσιος,fil-ip-pay'-see-os,Philippian
Φιλόλογος,fil-ol'-og-os,Philologus
Φλέγων,fleg'-one,Phlegon
Φοίβη,foy'-bay,Phebe
Φοινίκη,foy-nee'-kay,"Phenice, Phenicia"
