strong,lemma,translit,gloss
H7815,שְׁחוֹר,shekh-ore',coal
H7816,שְׁחוּת,shekh-ooth',pit
H7817,שָׁחַח,shaw-khakh',"bend, bow (down), bring (cast) down, couch, humble self, be (bring) low, stoop"
H7818,שָׂחַט,saw-khat',press
H7819,שָׁחַט,shaw-khat',"kill, offer, shoot out, slay, slaughter"
H7820,שָׁחַט,shaw-khat',beat
H7821,שְׁחִיטַת,shekh-ee-taw',killing
H7822,שְׁחִין,shekh-een',"inflammation, i"
H7823,סָחִישׁ,shaw-khece',(that) which springeth of the same
H7824,שְׁחִיף,shaw-kheef',cieled with
H7825,שְׁחִיתוֹת,shekh-eeth',"destruction, pit"
H7826,שָׁ֫חַל,shakh'-al,(fierce) lion
H7827,שְׁחֵ֫לֶ֫ת,shekh-ay'-leth,onycha
H7828,שָׁ֫חַף,shakh'-af,cuckoo
H7829,שַׁחֶ֫פֶת,shakh-eh'-feth,consumption
H7830,שָׁ֫חַץ,shakh'-ats,"X lion, pride"
H7831,שַׁחֲצוֹם,shakh-ats-ome',Shahazimah (from the margin)
H7832,שָׂחַק,saw-khak',"deride, have in derision, laugh, make merry, mock(-er), play, rejoice, (laugh to) scorn, be in (make) sport"
H7833,שָׁחַק,shaw-khak',"beat, wear"
H7834,שַׁ֫חַק,shakh'-ak,"cloud, small dust, heaven, sky"
H7835,שָׁחַר,shaw-khar',be black
H7836,שָׁחַר,shaw-khar',"(do something) betimes, enquire early, rise (seek) betimes, seek diligently) early, in the morning)"
H7837,שָׁ֫חַר,shakh'-ar,"day(-spring), early, light, morning, whence riseth"
H7838,שָׁחֹר,shaw-khore',black
H7839,שַׁחֲרוּת,shakh-ar-ooth',youth
H7840,שְׁחַרְחֹ֫רֶת,shekh-ar-kho'-reth,black
H7841,שְׁחַרְיָה,shekh-ar-yaw',Shehariah
H7842,שַׁחֲרַ֫יִם,shakh-ar-ah'-yim,Shaharaim
H7843,שָׁחַת,shaw-khath',"batter, cast off, corrupt(-er, thing), destroy(-er, -uction), lose, mar, perish, spill, spoiler, X utterly, waste(-r)"
H7844,שְׁחַת,shekh-ath',"corrupt, fault"
H7845,שָׁ֫חַת,shakh'-ath,"corruption, destruction, ditch, grave, pit"
H7846,סֵטִים,sayte,"revolter, that turn aside"
H7847,שָׂטָה,saw-taw',"decline, go aside, turn"
H7848,שִׁטִּים,shit-taw',"shittah, shittim"
H7849,שָׁטַח,shaw-takh',"all abroad, enlarge, spread, stretch out"
H7850,שֹׁטֵט,sho-tate',scourge
H7851,שִׁטִּים,shit-teem',Shittim
H7852,שָׂטַם,saw-tam',"hate, oppose self against"
H7853,שָׂטַן,saw-tan',"(be an) adversary, resist"
H7854,שָׂטָן,saw-tawn',"adversary, Satan, withstand"
H7855,שִׂטְנָה,sit-naw',accusation
H7856,שִׂטְנָה,sit-naw',Sitnah
H7857,שָׁטַף,shaw-taf',"drown, (over-)flow(- whelm, rinse, run, rush, (throughly) wash (away)"
H7858,שֵׁ֫טֶף,sheh'-tef,"flood, outrageous, overflowing"
H7859,שְׂטַר,shet-ar',side
H7860,שֹׁטֵר,sho-tare',"officer, overseer, ruler"
H7861,שִׁטְרַי,shit-rah'-ee,Shitrai
H7862,שָׁי,shah'-ee,present
H7863,שִׂיא,see,excellency
H7864,שְׁיָא,sheh-yaw',Sheva (from the margin)
H7865,שִׂיאֹן,see-ohn',Sion
H7866,שִׁיאוֹן,shee-ohn',ruin
H7867,שִׂיב,seeb,(be) grayheaded
H7868,שִׂיב,seeb,elder
H7869,שֵׂיב,sabe,age
H7870,שִׁיבַת,shee-baw',captivity
H7871,שִׁיבַת,shee-baw',while
H7872,שֵׂיבָה,say-baw',"(be) gray (grey hoar,-y) hairs (head,-ed), old age"
H7873,שִׂיג,seeg,pursuing
H7874,שִׂיד,seed,plaister
H7875,שִׂיד,seed,"lime, plaister"
H7876,שָׁיָה,shaw-yaw',be unmindful
H7877,שִׁיזָא,shee-zaw',Shiza
H7878,שִׂ֫יחַ,see'-akh,"commune, complain, declare, meditate, muse, pray, speak, talk (with)"
H7879,שִׂ֫יחַ,see'-akh,"babbling, communication, complaint, meditation, prayer, talk"
H7880,שִׂ֫יחַ,see'-akh,"bush, plant, shrub"
H7881,שִׂיחָה,see-khaw',"meditation, prayer"
H7882,שִׁיחָה,shee-khaw',pit
H7883,שִׁיחוֹר,shee-khore',"Shihor, Sihor"
H7884,שִׁיחוֹר לִבְנָת,shee-khore' lib-nawth',Shihor-libnath
H7885,שַׁ֫יִט,shay'-yit,"oar, scourge"
H7886,שִׁילֹה,shee-lo',Shiloh
H7887,שִׁלֹה,shee-lo',Shiloh
H7888,שִׁילוֹנִי,shee-lo-nee',Shilonite
H7889,שִׁימוֹן,shee-mone',Shimon
H7890,שֵׁינֵי,shah'-yin,piss
H7891,שִׁיר,sheer,"behold (by mistake for shuwr), sing(-er, -ing man, - ing woman)"
H7892,שִׁיר,sheer,"musical(-ick), X sing(-er, -ing), song"
H7893,שַׁ֫יִשׁ,shah'-yish,"white, i"
H7894,שִׁישָׁא,shee-shaw',Shisha
H7895,שִׁישָׁק,shee-shak',Shishak
H7896,שִׁית,sheeth,"apply, appoint, array, bring, consider, lay (up), let alone, X look, make, mark, put (on), + regard, set, shew, be stayed, X take"
H7897,שִׁית,sheeth,attire
H7898,שָׁ֫יִת,shah'-yith,thorns
H7899,שִׂכִּים,sake,prick
H7900,שֹׂך,soke,tabernacle
H7901,שָׁכַב,shaw-kab',"X at all, cast down, ((lover-))lay (self) (down), (make to) lie (down, down to sleep, still with), lodge, ravish, take rest, sleep, stay"
H7902,שִׁכְבַת,shek-aw-baw',"X carnally, copulation, X lay, seed"
H7903,שְׁכֹ֫בֶת,shek-o'-beth,X lie
H7904,שָׁכָה,shaw-kaw',in the morning (by mistake for shakam)
H7905,שֻׂכּוֹת,sook-kaw',barbed iron
H7906,שֶׂ֫כוּ,say'-koo,Sechu
H7907,שֶׂכְוִי,sek-vee',heart
H7908,שְׁכוֹל,shek-ole',"loss of children, spoiling"
H7909,שַׁכּוּל,shak-kool',"barren, bereaved (robbed) of children (whelps)"
H7910,שִׁכּוֹר,shik-kore',"drunk(-ard, -en, -en man)"
H7911,שָׁכַח,shaw-kakh',"X at all, (cause to) forget"
H7912,שְׁכַח,shek-akh',find
H7913,שְׁכֵחִים,shaw-kay'-akh,forget
H7914,שְׂכִיּוֹת,sek-ee-yaw',picture
H7915,שַׂכִּין,sak-keen',knife
H7916,שָׂכִיר,saw-keer',"hired (man, servant), hireling"
H7917,שְׂכִירָה,sek-ee-raw',that is hired
H7918,שָׁכַך,shaw-kak',"appease, assuage, make to cease, pacify, set"
H7919,שָׂכַל,saw-kal',"consider, expert, instruct, prosper, (deal) prudent(-ly), (give) skill(-ful), have good success, teach, (have, make to) understand(-ing), wisdom, (be, behave self, consider, make) wise(- ly), guide wittingly"
H7920,שְׂכַל,sek-al',consider
H7921,שָׁכֹל,shaw-kole',"bereave (of children), barren, cast calf (fruit, young), be (make) childless, deprive, destroy, X expect, lose children, miscarry, rob of children, spoil"
H7922,שֵׂ֫כֶל,seh'-kel,"discretion, knowledge, policy, prudence, sense, understanding, wisdom, wise"
H7923,שִׁכֻּלֵי,shik-koo-leem',to have after loss of others
H7924,שָׂכְלְתָנוּ,sok-leth-aw-noo',understanding
H7925,שָׁכַם,shaw-kam',"(arise, be up, get (oneself) up, rise up) early (betimes), morning"
H7926,שְׁכֶם,shek-em',"back, X consent, portion, shoulder"
H7927,שְׁכֶם,shek-em',Shechem
H7928,שֶׁ֫כֶם,sheh'-kem,Shechem
H7929,שִׁכְמָה,shik-maw',shoulder blade
H7930,שִׁכְמִי,shik-mee',Shichemites
H7931,שָׁכַן,shaw-kan',"abide, continue, (cause to, make to) dwell(-er), have habitation, inhabit, lay, place, (cause to) remain, rest, set (up)"
H7932,שְׁכַן,shek-an',"cause to dwell, have habitation"
H7933,שֵׁ֫כֶן,sheh'-ken,habitation
H7934,שָׁכֵן,shaw-kane',"inhabitant, neighbour, nigh"
H7935,שְׁכַנְיָה,shek-an-yaw',"Shecaniah, Shechaniah"
H7936,שָׂכַר,saw-kar',"earn wages, hire (out self), reward, X surely"
H7937,שָׁכַר,shaw-kar',"(be filled with) drink (abundantly), (be, make) drunk(-en), be merry"
H7938,שֶׂ֫כֶר,seh'-ker,"reward, sluices"
H7939,שָׂכָר,saw-kawr',"hire, price, reward(-ed), wages, worth"
H7940,שָׂכָר,saw-kar',Sacar
H7941,שֵׁכָר,shay-kawr',"strong drink, + drunkard, strong wine"
H7942,שִׁכְּר֫וֹנָה,shik-ker-one',Shicron
H7943,שִׁכָּרוֹן,shik-kaw-rone',(be) drunken(-ness)
H7944,שַׁל,shal,error
H7945,שֶׁל,shel,"cause, sake"
H7946,שַׁלְאֲנָן,shal-an-awn',being at ease
H7947,שָׁלַב,shaw-lab',"equally distant, set in order"
H7948,שְׁלַבִּים,shaw-lawb',ledge
H7949,שָׁלַג,shaw-lag',be as snow
H7950,שָׁ֫לֶג,sheh'-leg,snow(-y)
H7951,שָׁלָה,shaw-law',"be happy, prosper, be in safety"
H7952,שָׁלָה,shaw-law',"deceive, be negligent"
H7953,שָׁלָה,shaw-law',take away
H7954,שְׁלָה,shel-aw',at rest
H7955,שָׁלֻה,shaw-law',thing amiss
H7956,שֵׁלָה,shay-law',Shelah
H7957,שַׁלְהֶ֫בֶת,shal-heh'-beth,(flaming) flame
H7958,שְׂלָו,sel-awv',quails
H7959,שָׁ֫לֶו,sheh'-lev,prosperity
H7960,שָׁלוּ,shaw-loo',"error, X fail, thing amiss"
H7961,שָׁלֵיו,shaw-lave',"(being) at ease, peaceable, (in) prosper(-ity), quiet(-ness), wealthy"
H7962,שַׁלְוָה,shal-vaw',"abundance, peace(-ably), prosperity, quietness"
H7963,שְׁלֵוַת,shel-ay-vaw',tranquillity
H7964,שִׁלּוּחִים,shil-loo'-akh,"presents, have sent back"
H7965,שָׁלוֹם,shaw-lome',"X do, familiar, X fare, favour, + friend, X great, (good) health, (X perfect, such as be at) peace(-able, -ably), prosper(-ity, -ous), rest, safe(-ty), salute, welfare, (X all is, be) well, X wholly"
H7966,שִׁלּוּם,shil-loom',"recompense, reward"
H7967,שַׁלּוּם,shal-loom',Shallum
H7968,שַׁלּוּן,shal-loon',Shallum
H7969,שָׁלוֹשׁ,shaw-loshe',"+ fork, + often(-times), third, thir(-teen, -teenth), three, + thrice"
H7970,שְׁלוֹשִׁים,shel-o-sheem',"thirty, thirtieth"
H7971,שָׁלַח,shaw-lakh',"X any wise, appoint, bring (on the way), cast (away, out), conduct, X earnestly, forsake, give (up), grow long, lay, leave, let depart (down, go, loose), push away, put (away, forth, in, out), reach forth, send (away, forth, out), set, shoot (forth, out), sow, spread, stretch forth (out)"
H7972,שְׁלַח,shel-akh',"put, send"
H7973,שָׁ֫לַח,sheh'-lakh,"dart, plant, X put off, sword, weapon"
H7974,שָׁ֫לַח,sheh'-lakh,"Salah, Shelah"
H7975,שִׁלֹ֫חַ,shee-lo'-akh,"Shiloah, Siloah"
H7976,שְׁלֻחוֹת,shil-loo-khaw',branch
H7977,שִׁלְחִי,shil-khee',Shilhi
H7978,שִׁלְחִים,shil-kheem',Shilhim
H7979,שֻׁלְחָן,shool-khawn',table
H7980,שָׁלַט,shaw-lat',"(bear, have) rule, have dominion, give (have) power"
H7981,שְׁלֵט,shel-ate',"have the mastery, have power, bear rule, be (make) ruler"
H7982,שְׁלָטִים,sheh'-let,shield
H7983,שִׁלְטוֹן,shil-tone',a potentate
H7984,שִׁלְטֹנֵי,shil-tone',ruler
H7985,שָׁלְטָן,shol-tawn',dominion
H7986,שַׁלָּ֫טֶת,shal-leh'-teth,imperious
H7987,שֶׁ֫לִי,shel-ee',+ quietly
H7988,שִׁלְיַת,shil-yaw',young one
H7989,שַׁלִּיט,shal-leet',"governor, mighty, that hath power, ruler"
H7990,שַׁלִּיט,shal-leet',"captain, be lawful, rule(- r)"
H7991,שָׁלִישׁ,shaw-leesh',"captain, instrument of musick, (great) lord, (great) measure, prince, three (from the margin)"
H7992,שְׁלִישִׁי,shel-ee-shee',"third (part, rank, time), three (years old)"
H7993,שָׁלַך,shaw-lak,"adventure, cast (away, down, forth, off, out), hurl, pluck, throw"
H7994,שָׁלָך,shaw-lawk',cormorant
H7995,שַׁלֶּ֫כֶת,shal-leh'-keth,when cast
H7996,שַׁלֶּ֫כֶת,shal-leh'-keth,Shalleketh
H7997,שָׁלַל,shaw-lal',"let fall, make self a prey, X of purpose, (make a, (take)) spoil"
H7998,שָׁלָל,shaw-lawl',"prey, spoil"
H7999,שָׁלַם,shaw-lam',"make amends, (make an) end, finish, full, give again, make good, (re-)pay (again), (make) (to) (be at) peace(-able), that is perfect, perform, (make) prosper(-ous), recompense, render, requite, make restitution, restore, reward, X surely"
H8000,שְׁלַם,shel-am',"deliver, finish"
H8001,שְׁלָם,shel-awm',peace
H8002,שֶׁ֫לֶם,sheh'-lem,peace offering
H8003,שָׁלֵם,shaw-lame',"full, just, made ready, peaceable, perfect(-ed), quiet, Shalem (by mistake for a name), whole"
H8004,שָׁלֵם,shaw-lame',Salem
H8005,שִׁלֵּם,shil-lame',recompense
H8006,שִׁלֵּם,shil-lame',Shillem
H8007,שַׂלְמָא,sal-maw',Salma
H8008,שַׂלְמָה,sal-maw',"clothes, garment, raiment"
H8009,שַׂלְמָה,sal-maw',Salmon
H8010,שְׁלֹמֹה,shel-o-mo',Solomon
H8011,שִׁלֻּמַת,shil-loo-maw',recompense
H8012,שַׂלְמוֹן,sal-mone',Salmon
H8013,שְׁלֹמוֹת,shel-o-moth',"Shelomith (from the margin), Shelomoth"
H8014,שַׁלְמָי,sal-mah'-ee,Shalmai
H8015,שְׁלֹמִי,shel-o-mee',Shelomi
H8016,שִׁלֵּמִי,shil-lay-mee',Shillemites
H8017,שְׁלֻמִיאֵל,shel-oo-mee-ale',Shelumiel
H8018,שֶׁלֶמְיָה,shel-em-yaw',Shelemiah
H8019,שְׁלֹמִית,shel-o-meeth',Shelomith
H8020,שַׁלְמַן,shal-man',Shalman
H8021,שַׁלְמֹנִים,shal-mone',reward
H8022,שַׁלְמַנְאֶ֫סֶר,shal-man-eh'-ser,Shalmaneser
H8023,שִׁלֹנִי,shee-lo-nee',Shiloni
H8024,שֵׁלָנִי,shay-law-nee',Shelanites
H8025,שָׁלַף,saw-laf',"draw (off), grow up, pluck off"
H8026,שָׁ֫לֶף,sheh'-lef,Sheleph
H8027,שָׁלַשׁ,shaw-lash',"do the third time, (divide into, stay) three (days, - fold, parts, years old)"
H8028,שֵׁ֫לֶשׁ,sheh'-lesh,Shelesh
H8029,שִׁלֵּשִׁים,shil-laysh',third (generation)
H8030,שִׁלְשָׁה,shil-shaw',Shilshah
H8031,שָׁלִ֫שָׁה,shaw-lee-shaw',Shalisha
H8032,שִׁלְשֹׁם,shil-shome',"+ before (that time, - time), excellent things (from the margin), + heretofore, three days, + time past"
H8033,שָׁם,shawm,"in it, + thence, there (-in, + of, + out), + thither, + whither"
H8034,שֵׁם,shame,"+ base, (in-)fame(-ous), named(-d), renown, report"
H8035,שֵׁם,shame,"Sem, Shem"
H8036,שְׁמָהָת,shoom,name
H8037,שַׁמָּא,sham-maw',Shamma
H8038,שֶׁמְאֵ֫בֶר,shem-ay'-ber,Shemeber
H8039,שִׁמְאָה,shim-aw',Shimah
H8040,שְׂמֹאול,sem-ole',"left (hand, side)"
H8041,NONE,saw-mal',"(go, turn) (on the, to the) left"
H8042,שְׂמָאלִי,sem-aw-lee',left
H8043,שִׁמְאָם,shim-awm',Shimeam
H8044,שַׁמְגַּר,sham-gar',Shamgar
H8045,שָׁמַד,shaw-mad',"destory(- uction), bring to nought, overthrow, perish, pluck down, X utterly"
H8046,שְׁמַד,shem-ad',consume
H8047,שַׁמָּה,sham-maw',"astonishment, desolate(-ion), waste, wonderful thing"
H8048,שַׁמָּה,sham-maw',Shammah
H8049,שַׁמְהוּת,sham-hooth',Shamhuth
H8050,שְׁמוּאֵל,sehm-oo-ale',"Samuel, Shemuel"
H8051,שַׁמּ֫וּעַ,sham-moo'-ah,"Shammua, Shammuah"
H8052,שְׁמוּעָה,sehm-oo-aw',"bruit, doctrine, fame, mentioned, news, report, rumor, tidings"
H8053,שָׁמוּר,shaw-moor',Shamir (from the margin)
H8054,שַׁמּוֹת,sham-moth',Shamoth
H8055,שָׂמַח,saw-makh',"cheer up, be (make) glad, (have, make) joy(-ful), be (make) merry, (cause to, make to) rejoice, X very"
H8056,שָׂמֵ֫חַ,saw-may'-akh,"(be) glad, joyful, (making) merry((-hearted), -ily), rejoice(-ing)"
H8057,שִׂמְחָה,sim-khaw',"X exceeding(-ly), gladness, joy(-fulness), mirth, pleasure, rejoice(-ing)"
H8058,שָׁמַט,shaw-mat',"discontinue, overthrow, release, let rest, shake, stumble, throw down"
H8059,שְׁמִטָּה,shem-it-taw',release
H8060,שַׁמָּי,sham-mah'-ee,Shammai
H8061,שְׁמִידָע,shem-ee-daw',"Shemida, Shemidah"
H8062,שְׁמִידָעִי,shem-ee-daw-ee',Shemidaites
H8063,שְׂמִיכָה,sem-ee-kaw',mantle
H8064,שָׁמַ֫יִם,shaw-mah'-yim,"air, X astrologer, heaven(-s)"
H8065,שְׁמַיָּא,shaw-mah'-yin,heaven
H8066,שְׁמִינִי,shem-ee-nee',eight
H8067,שְׁמִינִית,shem-ee-neeth',Sheminith
H8068,שָׁמִיר,shaw-meer',"adamant (stone), brier, diamond"
H8069,שָׁמִיר,shaw-meer',Shamir
H8070,שְׁמִירָמוֹת,shem-ee-raw-moth',Shemiramoth
H8071,שִׂמְלָה,sim-law',"apparel, cloth(-es, -ing), garment, raiment"
H8072,שַׂמְלָה,sam-law',Samlah
H8073,שַׁמְלַי,sham-lah'-ee,Shalmai (from the margin)
H8074,שָׁמֵם,shaw-mame',"make amazed, be astonied, (be an) astonish(-ment), (be, bring into, unto, lay, lie, make) desolate(-ion, places), be destitute, destroy (self), (lay, lie, make) waste, wonder"
H8075,שְׁמַם,shem-am',be astonied
H8076,שָׁמֵם,shaw-mame',desolate
H8077,שְׁמָמָה,shem-aw-maw',"(laid, X most) desolate(- ion), waste"
H8078,שִׁמָּמוֹן,shim-maw-mone',astonishment
H8079,שְׂמָמִית,sem-aw-meeth',spider
H8080,שָׁמַן,shaw-man',"become (make, wax) fat"
H8081,שָׁ֫מֶן,sheh'-men,"anointing, X fat (things), X fruitful, oil((-ed)), ointment, olive, + pine"
H8082,שָׁמֵן,shaw-mane',"fat, lusty, plenteous"
H8083,שְׁמֹנֶה,shem-o-neh',"eight((-een, -eenth)), eighth"
H8084,שְׁמֹנִים,shem-o-neem',"eighty(-ieth), fourscore"
H8085,שָׁמַע,shaw-mah',"X attentively, call (gather) together, X carefully, X certainly, consent, consider, be content, declare, X diligently, discern, give ear, (cause to, let, make to) hear(-ken, tell), X indeed, listen, make (a) noise, (be) obedient, obey, perceive, (make a) proclaim(-ation), publish, regard, report, shew (forth), (make a) sound, X surely, tell, understand, whosoever (heareth), witness"
H8086,שְׁמַע,shem-ah',"hear, obey"
H8087,שֶׁ֫מַע,sheh'-mah,Shema
H8088,שֵׁ֫מַע,shay'-mah,"bruit, fame, hear(-ing), loud, report, speech, tidings"
H8089,שֹׁ֫מַע,sho'-mah,fame
H8090,שְׁמָע,shem-aw',Shema
H8091,שָׁמָע,shaw-maw',Shama
H8092,שִׁמְעָא,shim-aw',"Shimea, Shimei, Shamma"
H8093,שִׁמְעָה,shim-aw',Shimeah
H8094,שְׁמָעָה,shem-aw-aw',Shemaah
H8095,שִׁמְעוֹן,shim-one',Simeon
H8096,שִׁמְעִי,shim-ee',"Shimeah (from the margin), Shimei, Shimhi, Shimi"
H8097,שִׁמְעִי,shim-ee',"of Shimi, Shimites"
H8098,שְׁמַעְיָה,shem-aw-yaw',Shemaiah
H8099,שִׁמְעוֹנִי,shim-o-nee',"tribe of Simeon, Simeonites"
H8100,שִׁמְעָת,shim-awth',Shimath
H8101,שִׁמְעָתִים,shim-aw-thee',Shimeathites
H8102,שֵׁ֫מֶץ,sheh'-mets,a little
H8103,שִׁמְצָה,shim-tsaw',shame
H8104,שָׁמַר,shaw-mar',"beward, be circumspect, take heed (to self), keep(-er, self), mark, look narrowly, observe, preserve, regard, reserve, save (self), sure, (that lay) wait (for), watch(-man)"
H8105,שְׁמָרִים,sheh'-mer,"dregs, (wines on the) lees"
H8106,שָׁ֫מֶר,sheh'-mer,"Shamer, Shemer"
H8107,שִׁמֻּרִים,shim-moor',X be (much) observed
H8108,שָׁמְרָה,shom-raw',watch
H8109,שְׁמֻרוֹת,shem-oo-raw',waking
H8110,שִׁמְרוֹן,shim-rone',Shimron
H8111,שֹׁמְרוֹן,sho-mer-one',Samaria
H8112,שִׁמְרוֹן מְראוֹן,shim-rone' mer-one',Shimon-meron
H8113,שִׁמְרִי,shim-ree',Shimri
H8114,שְׁמַרְיָה,shem-ar-yaw',"Shamariah, Shemariah"
H8115,שָׁמְרַ֫יִן,shom-rah'-yin,Samaria
H8116,שִׁמְרִית,shim-reeth',Shimrith
H8117,שִׁמְרֹנִי,shim-ro-nee',Shimronites
H8118,שֹׁמְרֹנִי,sho-mer-o-nee',Samaritans
H8119,שִׁמְרָת,shim-rawth',Shimrath
H8120,שְׁמַשׁ,shem-ash',minister
H8121,שָׁ֫מֶשׁ,sheh'-mesh,"+ east side(-ward), sun ((rising)), + west(-ward), window"
H8122,שִׁמְשָׁא,sheh'-mesh,sun
H8123,שִׁמְשׁוֹן,shim-shone',Samson
H8124,שִׁמְשַׁי,shim-shah'-ee,Shimshai
H8125,שַׁמְשְׁרַי,sham-sher-ah'-ee,Shamsherai
H8126,שֻׁמָתִי,shoo-maw-thee',Shumathites
H8127,שֵׁן,shane,"crag, X forefront, ivory, X sharp, tooth"
H8128,שֵׁן,shane,tooth
H8129,שֵׁן,shane,Shen
H8130,שָׂנֵא,saw-nay',"enemy, foe, (be) hate(-ful, -r), odious, X utterly"
H8131,שְׂנֵא,sen-ay',hate
H8132,שָׁנָא,shaw-naw',change
H8133,שְׁנָא,shen-aw',"alter, change, (be) diverse"
H8134,שִׁנְאָב,shin-awb',Shinab
H8135,שִׂנְאָה,sin-aw',"+ exceedingly, hate(-ful, - red)"
H8136,שִׁנְאָן,shin-awn',X angels
H8137,שֶׁנְאַצַּר,shen-ats-tsar',Senazar
H8138,שָׁנָה,shaw-naw',"do (speak, strike) again, alter, double, (be given to) change, disguise, (be) diverse, pervert, prefer, repeat, return, do the second time"
H8139,שִׁנְתָּא,shen-aw',sleep
H8140,שְׁנִין,shen-aw',year
H8141,שָׁנִים,shaw-neh',"+ whole age, X long, + old, year(X -ly)"
H8142,שֵׁנָה,shay-naw',sleep
H8143,שֶׁנְהַבִּים,shen-hab-beem',ivory
H8144,שָׁנִי,shaw-nee',"crimson, scarlet (thread)"
H8145,שֵׁנִי,shay-nee',"again, either (of them), (an-)other, second (time)"
H8146,שְׂנִיאָה,saw-nee',hated
H8147,שְׁנַ֫יִם,shen-ah'-yim,"both, couple, double, second, twain, + twelfth, + twelve, + twenty (sixscore) thousand, twice, two"
H8148,שְׁנִינָה,shen-ee-naw',"byword, taunt"
H8149,שְׂנִיר,shen-eer',"Senir, Shenir"
H8150,שָׁנַן,shaw-nan',"prick, sharp(-en), teach diligently, whet"
H8151,שָׁנַס,shaw-nas',gird up
H8152,שִׁנְעָר,shin-awr',Shinar
H8153,שְׁנַת,shen-awth',sleep
H8154,שָׁסָה,shaw-saw',"destroyer, rob, spoil(-er)"
H8155,שָׁסַס,shaw-sas',"rifle, spoil"
H8156,שָׁסַע,shaw-sah',"cleave, (be) cloven ((footed)), rend, stay"
H8157,שֶׁ֫סַע,sheh'-sah,"cleft, clovenfooted"
H8158,שָׁסַף,shaw-saf',hew in pieces
H8159,שָׁעָה,shaw-aw',"depart, be dim, be dismayed, look (away), regard, have respect, spare, turn"
H8160,שָׁעָה,shaw-aw',hour
H8161,שַׁעֲטַת,shah'-at-aw,stamping
H8162,שַׁעַטְנֵז,shah-at-naze',"garment of divers sorts, linen and wollen"
H8163,שָׂעִיר,saw-eer',"devil, goat, hairy, kid, rough, satyr"
H8164,שְׂעִירִם,saw-eer',small rain
H8165,שֵׂעִיר,say-eer',Seir
H8166,שְׂעִירַת,seh-ee-raw',kid
H8167,שְׂעִירָ֫תָה,seh-ee-raw',Seirath
H8168,שֹׁ֫עַל,sho'-al,"handful, hollow of the hand"
H8169,שַׁעֲלַבִּין,shah-al-beem',"Shaalabbin, Shaalbim"
H8170,שַׁעַלְבֹנִי,shah-al-bo-nee',Shaalbonite
H8171,שַׁעֲלִים,shah-al-eem',Shalim
H8172,שָׁעַן,shaw-an',"lean, lie, rely, rest (on, self), stay"
H8173,שָׁעַע,shaw-ah',"cry (out) (by confusion with shava`), dandle, delight (self), play, shut"
H8174,שָׁ֫עַף,shah'-af,Shaaph
H8175,שָׂעַר,saw-ar',"be (horribly) afraid, fear, hurl as a storm, be tempestuous, come like (take away as with) a whirlwind"
H8176,שָׁעַר,shaw-ar',think
H8177,שְׂעַר,seh-ar',hair
H8178,שָׂ֫עַר,sah'-ar,"affrighted, X horribly, X sore, storm"
H8179,שַׁ֫עַר,shah'-ar,"city, door, gate, port (X -er)"
H8180,שְׁעָרִים,shah'-ar,(hundred-)fold
H8181,שֵׂעָר,say-awr',"hair(-y), X rough"
H8182,שֹׁעָרִים,sho-awr',vile
H8183,שְׂעָרָה,seh-aw-raw',"storm, tempest"
H8184,שְׂעֹרִים,seh-o-raw',barley
H8185,שַׂעֲרָה,sah-ar-aw',hair
H8186,שַׁעֲרוּרָה,shah-ar-oo-raw',horrible thing
H8187,שְׁעַרְיָה,sheh-ar-yaw',Sheariah
H8188,שְׂעֹרִים,seh-o-reem',Seorim
H8189,שַׁעֲרַ֫יִם,shah-ar-ah'-yim,Shaaraim
H8190,שַׁעֲשְׁגַּז,shah-ash-gaz',Shaashgaz
H8191,שַׁעְשֻׁ֫עַ,shah-shoo'-ah,"delight, pleasure"
H8192,שָׁפָה,shaw-faw',"high, stick out"
H8193,שָׂפָה,saw-faw',"band, bank, binding, border, brim, brink, edge, language, lip, prating, ((sea-))shore, side, speech, talk, (vain) words"
H8194,שְׁפוֹת,shaw-faw',cheese
H8195,שְׁפוֹ,shef-o',"Shephi, Shepho"
H8196,שְׁפוֹט,shef-ote',judgment
H8197,שְׁפוּפָן,shef-oo-fawm',"Shephuphan, Shupham"
H8198,שִׁפְחָה,shif-khaw',"(bond-, hand-)maid(-en, -servant), wench, bondwoman, womanservant"
H8199,שָׁפַט,shaw-fat',"+ avenge, X that condemn, contend, defend, execute (judgment), (be a) judge(-ment), X needs, plead, reason, rule"
H8200,שְׁפַט,shef-at',magistrate
H8201,שְׁפָטִים,sheh'-fet,judgment
H8202,שָׁפָט,shaw-fawt',Shaphat
H8203,שְׁפַטְיָה,shef-at-yaw',Shephatiah
H8204,שִׁפְטָן,shif-tawn',Shiphtan
H8205,שֶׁ֫פִי,shef-ee',"high place, stick out"
H8206,שֻׁפִּים,shoop-peem',Shuppim
H8207,שְׁפִיפֹן,shef-ee-fone',adder
H8208,שָׁפִיר,shaf-eer',Saphir
H8209,שַׁפִּיר,shap-peer',fair
H8210,שָׁפַך,shaw-fak',"cast (up), gush out, pour (out), shed(-der, out), slip"
H8211,שֶׁ֫פֶך,sheh'-fek,are poured out
H8212,שָׁפְכָּה,shof-kaw',privy member
H8213,שָׁפֵל,shaw-fale',"abase, bring (cast, put) down, debase, humble (self), be (bring, lay, make, put) low(-er)"
H8214,שְׁפַל,shef-al',"abase, humble, put down, subdue"
H8215,שְׁפַל,shef-al',basest
